Model,Lab,Parameters(B),Announced,Type
Palmyra-Med-70B,Writer,70.0,2024/07/01,EN-available
Palmyra-Fin-70B,Writer,70.0,2024/07/01,EN-available
Zamba2-small,Zyphra,2.7,2024/07/01,EN-available
Mistral Large 2,Mistral,123.0,2024/07/01,EN-available
Llama 3.1 405B,Meta AI,405.0,2024/07/01,EN-available
GPT-4o mini,OpenAI,8.0,2024/07/01,EN-available
NeMo,Mistral,12.0,2024/07/01,EN-available
Codestral Mamba,Mistral,7.0,2024/07/01,EN-available
Mathstral,Mistral,7.0,2024/07/01,EN-available
next-gen,DeepL,,2024/07/01,EN-available
SmolLM,Hugging Face,1.7,2024/07/01,EN-available
Mockingbird,Vectara,9.0,2024/07/01,EN-available
H2O-Danube3-4B,H2O.ai,4.0,2024/07/01,EN-available
SenseNova 5.5,SenseTime,600.0,2024/07/01,EN-available
Helium 7B,Kyutai,7.0,2024/07/01,EN-available
InternLM2.5,Shanghai AI Laboratory/SenseTime,20.0,2024/07/01,EN-available
Tele-FLM-1T,BAAI,1000.0,2024/07/01,EN-available
ERNIE 4.0 Turbo,Baidu,,2024/06/01,EN-available
Gemma 2,Google DeepMind,27.0,2024/06/01,EN-available
4M-21,Apple,3.0,2024/06/01,EN-available
Claude 3.5 Sonnet,Anthropic,,2024/06/01,EN-available
DeepSeek-Coder-V2,DeepSeek-AI,236.0,2024/06/01,EN-available
Nemotron-4-340B,NVIDIA,340.0,2024/06/01,EN-available
Apple On-Device model Jun/2024,Apple,3.04,2024/06/01,EN-available
MatMul-Free LM,UCSC,2.7,2024/06/01,EN-available
Luna,Galileo,0.44,2024/06/01,EN-available
Qwen2,Alibaba,72.0,2024/06/01,EN-available
Qwen2-57B-A14B,Alibaba,57.0,2024/06/01,EN-available
Skywork MoE 16x13B,Kunlun Tech,146.0,2024/06/01,EN-available
Mamba-2,CMU,2.7,2024/05/01,EN-available
MAP-Neo,International,7.0,2024/05/01,EN-available
K2,LLM360,65.0,2024/05/01,EN-available
Codestral,Mistral,22.0,2024/05/01,EN-available
Aya-23-35B,Cohere,35.0,2024/05/01,EN-available
Yi-XLarge,01-ai,2000.0,2024/05/01,EN-available
Yi-Large,01-ai,1000.0,2024/05/01,EN-available
Chameleon,Meta AI,34.0,2024/05/01,EN-available
Sparse Llama 7B,Cerebras,7.0,2024/05/01,EN-available
Gemini 1.5 Flash,Google DeepMind,,2024/05/01,EN-available
GPT-4o,OpenAI,,2024/05/01,EN-available
Falcon 2 11B,TII,11.0,2024/05/01,EN-available
Fugaku-LLM,Fujitsu,13.0,2024/05/01,EN-available
Yi 1.5 34B,01-ai,34.4,2024/05/01,EN-available
YOCO,Microsoft,3.0,2024/05/01,EN-available
DeepSeek-V2,DeepSeek-AI,236.0,2024/05/01,EN-available
ChuXin,Independent,1.6,2024/05/01,EN-available
RWKV-v6 Finch,RWKV,7.63,2024/05/01,EN-available
Granite Code,IBM,34.0,2024/05/01,EN-available
Qwen-Max,Alibaba,300.0,2024/05/01,EN-available
Tele-FLM,BAAI,52.0,2024/04/01,EN-available
Qwen-1.5 110B,Alibaba,111.0,2024/04/01,EN-available
Arctic,Snowflake AI Research,480.0,2024/04/01,EN-available
SenseNova 5.0,SenseTime,600.0,2024/04/01,EN-available
OpenELM,Apple,3.04,2024/04/01,EN-available
