Model,Lab,Parameters(B),Announced,Type,Source(JP)
Sarashina2-8x70B,SB Intuitions,465,2024/11/08,JP-available-scratch,https://www.sbintuitions.co.jp/news/press/20241108_01/
日本語版  Gemma 2 2B,Google,2,2024/10/03,JP-available,https://developers-jp.googleblog.com/2024/10/gemma-2-for-japan.html
Gemma 2 Baku 2B,rinna,2,2024/10/03,JP-available,https://rinna.co.jp/news/2024/10/20241003.html
Takane,Fujitsu,104,2024/09/30,JP-unavailable,https://pr.fujitsu.com/jp/news/2024/09/30.html
LLM-jp-3 13B,LLMC,13,2024/09/25,JP-available-scratch,https://llmc.nii.ac.jp/topics/post-707/
Llama-3-ELYZA-JP-120B,ELYZA,120,2024/09/19,JP-unavailable,https://prtimes.jp/main/html/rd/p/000000053.000047565.html
LLM-jp-3 172B beta1,LLMC,172,2024/09/17,JP-available-scratch,https://www.nii.ac.jp/news/release/2024/0917.html
Tanuki-8x8B,Matsuo Lab LLM Development Project Team Tanuki,47,2024/08/30,JP-available-scratch,https://weblab.t.u-tokyo.ac.jp/2024-08-30/
Llama-3-Ricoh-70B-Instruct,RICOH,70,2024/08/21,JP-unavailable,https://jp.ricoh.com/release/2024/0821_1
PolySphere-2,AI inside,47.3,2024/08/20,JP-unavailable,https://inside.ai/news/2024/08/20/customizeslm/
Sarashina2-70b,SB Intuitions,70,2024/08/07,JP-available-scratch,https://huggingface.co/sbintuitions/sarashina2-70b
Llama 3 Youko (Instruct),rinna,70,2024/07/25,JP-available,https://rinna.co.jp/news/2024/07/20240725.html
Llama 3 Swallow,Swallow Project,70,2024/07/01,JP-available,https://swallow-llm.github.io/llama3-swallow.ja.html
CALM3,CyberAgent,22,2024/07/01,JP-available-scratch,https://huggingface.co/cyberagent/calm3-22b-chat
Llama 3 ELYZA,ELYZA,70,2024/06/26,JP-unavailable,https://note.com/elyza/n/n360b6084fdbd
,ELYZA,8,2024/06/26,JP-available,https://note.com/elyza/n/n360b6084fdbd
KARAKURI 8x7B Instruct,KARAKURI,46.7,2024/06/20,JP-available,https://karakuri.ai/seminar/news/karakuri-lm-8x7b-instruct-v0-1/
Sarashina,SB Intuitions,65,2024/06/14,JP-available-scratch,https://www.sbintuitions.co.jp/news/press/20240614_01/
PLaMo-100B,Preferred Elements,100,2024/06/14,JP-available-scratch,"https://tech.preferred.jp/ja/blog/plamo-100b/, https://www.preferred.jp/ja/news/pr20241015/"
KARAKURI 8x7B Chat,KARAKURI,46.7,2024/05/20,JP-available,https://karakuri.ai/seminar/news/aws_trainium_moe/
Stockmark-100b,Stockmark,100,2024/05/16,JP-available-scratch,https://stockmark.co.jp/news/20240516
Fugaku-LLM,"Titech, Tohoku Univ., Fujitsu, RIKEN, Nagoya Univ., CyberAgent, Kotoba Technologies",13,2024/05/10,JP-available-scratch,https://www.fujitsu.com/global/about/resources/news/press-releases/2024/0510-01.html
